
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 120323/2400
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  2400

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    979.00   245.00    17.80    15.60   110.00     6.00
    925.00   733.00    13.80    12.90   156.00    11.00
    895.30  1000.00    11.30    10.80   176.00     6.00
    894.10  1011.00    11.20    10.30   179.00     6.00
    878.60  1158.00    11.40    10.10   213.00     3.00
    850.00  1437.00     8.90     7.40   220.00     4.00
    821.30  1718.00     7.40     4.00   224.00     6.00
    803.00  1905.00     7.90     1.40   229.00     7.00
    791.40  2024.00     6.20    -0.70   228.00     5.00
    754.50  2413.00     2.60    -0.00   235.00     1.00
    719.00  2801.00    -0.50    -1.30   234.00     3.00
    700.00  3017.00    -1.70    -5.70   215.00     8.00
    689.00  3141.00    -2.60    -8.80   204.00     8.00
    657.50  3510.00    -5.60   -12.50   180.00    18.00
    604.70  4162.00   -10.20   -12.70   172.00    31.00
    603.10  4183.00   -10.20   -12.70   172.00    31.00
    583.90  4431.00   -11.20   -16.10   166.00    37.00
    571.10  4602.00   -11.60   -25.20   169.00    40.00
    560.20  4750.00   -12.40   -28.20   168.00    45.00
    552.70  4852.00   -12.50   -28.90   163.00    49.00
    536.30  5082.00   -12.80   -26.40   152.00    60.00
    527.90  5202.00   -12.90   -20.30   147.00    65.00
    523.30  5269.00   -12.40   -18.50   147.00    65.00
    500.00  5615.00   -15.00   -16.80   140.00    64.00
    498.60  5636.00   -15.00   -16.70   140.00    64.00
    488.80  5787.00   -15.20   -19.50   144.00    65.00
    478.40  5949.00   -16.80   -22.10   143.00    66.00
    418.40  6938.00   -25.70   -27.50   140.00    61.00
    404.00  7191.00   -27.40   -30.00   148.00    67.00
    400.00  7265.00   -27.30   -30.10   151.00    69.00
    391.70  7413.00   -27.60   -31.10   154.00    72.00
    355.10  8111.00   -33.30   -38.20   148.00    74.00
    350.20  8207.00   -34.20   -39.30   146.00    74.00
    300.00  9272.00   -43.50   -47.80   144.00    74.00
    261.40 10179.00   -51.40   -56.20   145.00    72.00
    250.00 10470.00   -52.10   -57.10   147.00    79.00
    208.50 11636.00   -54.70   -61.40   174.00    54.00
