
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 150203/2300
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  2300

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    989.00   219.00    -4.00    -5.20   190.00     6.00
    925.00   777.00    -5.90    -7.10   221.00    34.00
    912.10   886.00    -6.40    -7.80   232.00    33.00
    883.50  1134.00    -6.80    -8.00   235.00    27.00
    876.80  1191.00    -5.60    -6.20   235.00    25.00
    850.00  1433.00    -6.70    -7.90   248.00    19.00
    838.60  1534.00    -6.80    -8.00   250.00    18.00
    820.90  1703.00    -4.40    -4.60   262.00    31.00
    808.40  1820.00    -3.60    -4.30   266.00    40.00
    700.00  2947.00    -8.30    -9.50   272.00    72.00
    678.80  3179.00    -9.20   -10.50   277.00    73.00
    556.80  4679.00   -18.30   -20.20   275.00    73.00
    500.00  5471.00   -24.40   -26.70   275.00    66.00
    400.00  7046.00   -37.60   -40.80   278.00    80.00
    300.00  8959.00   -52.10   -55.50   266.00    98.00
    255.20  9977.00   -58.30   -62.30   268.00   103.00
    250.00 10115.00   -58.40   -62.50   268.00   103.00
    221.50 10840.00   -56.30   -61.00   273.00    96.00
    208.10 11250.00   -52.20   -57.30   276.00    87.00
    200.00 11502.00   -52.70   -57.80   264.00    91.00
    192.20 11737.00   -54.20   -59.30   265.00    97.00
    182.40 12093.00   -52.20   -57.80   269.00    93.00
    173.90 12387.00   -51.50   -56.60   275.00    90.00
    150.00 13316.00   -54.00   -58.90   271.00    66.00
    100.00 15839.00   -57.60   -62.50   274.00    56.00
     80.90 17125.00   -59.20   -64.20   276.00    54.00
     75.10 17583.00   -55.70   -61.30   281.00    44.00
     70.00 18010.00   -57.50   -62.90   269.00    47.00
     58.20 19120.00   -59.70   -65.30   275.00    27.00
