
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 131111/2200
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  2200

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    993.00   245.00     1.40     0.40   355.00     9.00
    925.00   809.00    -2.30    -3.20     2.00    33.00
    850.00  1477.00    -5.20    -6.50   336.00    25.00
    846.40  1509.00    -5.40    -6.70   334.00    24.00
    715.90  2825.00    -4.90    -5.10   268.00    49.00
    702.70  2970.00    -4.80    -5.30   270.00    55.00
    700.00  3002.00    -4.90    -5.60   270.00    55.00
    626.60  3866.00    -9.00   -10.20   267.00    69.00
    519.00  5301.00   -17.90   -19.10   272.00    77.00
    500.00  5581.00   -20.00   -21.50   271.00    77.00
    406.30  7079.00   -32.00   -34.70   270.00    74.00
    400.00  7193.00   -32.20   -34.80   272.00    77.00
    377.60  7595.00   -34.20   -36.90   270.00    82.00
    300.00  9162.00   -46.30   -49.30   273.00    95.00
    271.90  9807.00   -51.10   -53.80   271.00    99.00
    250.00 10352.00   -54.70   -57.80   273.00   105.00
    221.10 11123.00   -61.10   -64.20   274.00   101.00
    200.00 11753.00   -59.80   -63.80   276.00   101.00
    176.80 12518.00   -60.20   -65.30   273.00    92.00
    161.20 13099.00   -56.80   -63.50   273.00    94.00
    150.00 13558.00   -58.50   -66.40   276.00    84.00
    142.60 13870.00   -58.60   -67.30   273.00    87.00
    100.00 16106.00   -58.40   -69.80   279.00    66.00
     81.90 17350.00   -61.60   -73.00   283.00    51.00
     70.00 18323.00   -60.00   -72.50   298.00    52.00
     67.70 18531.00   -59.90   -72.60   288.00    40.00
     58.70 19420.00   -63.90   -75.70   302.00    49.00
     56.40 19658.00   -60.50   -73.10   296.00    35.00
     50.00 20416.00   -60.50   -72.90   295.00    30.00
     48.90 20551.00   -60.10   -72.50   303.00    29.00
